state,year,co2_per_cap,gdp_per_cap,pop_size,region,firm_num,employees,payroll_thousands,fossil_fuels,renewables,petroleum,coal,natural_gas
North Dakota,2000,79.12489116,35067,642023,Midwest,186,3907,236378.1623,597570,26151,120102,424563,58512
Ohio,2000,23.42579247,42678,11363543,Midwest,651,11291,592839.7351,3608966,98930,1273185,1428454,928425
Oklahoma,2000,29.00677838,34015,3454365,West,1971,25242,1379775.654,1440319,47393,512524,381089,546706
Oregon,2000,12.07099846,38193,3429708,South,139,2320,97329.03318,648953,437858,380453,38700,230965
Pennsylvania,2000,22.5900433,41857,12284173,Northeast,738,16330,887407.0096,3644660,114718,1410463,1508091,727484
Rhode Island,2000,11.14001379,41395,1050268,Northeast,22,0,0,189142,4520,97303,52,91787
South Carolina,2000,20.27720631,36070,4024223,West,51,1729,76925.59271,1070431,92463,473210,432195,165091
South Dakota,2000,18.78694545,35601,755844,Midwest,49,1215,59828.66326,204900,63439,118105,50602,38130
Tennessee,2000,22.44149826,38892,5703719,West,156,4335,191973.2392,1683770,120503,698045,705059,280679
Texas,2000,31.15376501,44432,20944499,West,5340,106075,7255915.429,11914541,101513,5821670,1548184,4550106
Utah,2000,29.04876004,38695,2244502,South,258,7467,443971.9875,844650,16403,269139,403068,173439
Vermont,2000,11.15452628,36622,609618,Northeast,55,0,0,98766,21389,88195,26,10552
Virginia,2000,17.32383482,47313,7105817,West,272,10409,519431.2036,1655409,117055,873849,506961,278198
Washington,2000,14.07661468,50063,5910512,South,171,3081,173171.974,1240107,911497,839072,106240,297569
West Virginia,2000,63.58531528,32144,1807021,West,555,18505,1098282.429,1342561,17408,206845,977817,157926
Wisconsin,2000,20.09676593,41911,5373999,Midwest,150,2685,153522.2785,1498029,115711,603951,499233,397553
Wyoming,2000,127.8575764,50814,494300,South,574,16239,996135.6568,758020,15011,145899,506147,105975
Alabama,2001,29.90397154,33312,4467634,West,205,7353,409010.9746,1722132,252824,537085,842337,344004
Alaska,2001,68.48515261,58547,633714,South,104,9698,1080714.087,718377,17439,289882,15911,413049
Arizona,2001,16.7631337,39170,5273477,South,179,10008,540483.0278,1183282,92736,516845,424023,244424
Arkansas,2001,23.36925164,31685,2691571,West,245,3446,151934.8369,859692,94047,354120,273982,231590
California,2001,11.21827379,47216,34479458,South,777,23068,1463412.48,6172713,615353,3598664,67839,2513856
Colorado,2001,20.9459006,51113,4425687,South,873,12784,927543.6329,1318361,30473,461101,400028,469766
Connecticut,2001,12.14739421,61872,3432835,Northeast,57,576,39202.9723,608724,29933,419491,39991,149350
Delaware,2001,20.23378187,71155,795699,West,20,0,0,228775,1322,138623,38335,51817
District of Columbia,2001,7.136590868,144598,574504,West,4,0,0,64783,864,33465,741,30577
